index,budget,genres,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director
0,237000000,Action Adventure Fantasy Science Fiction,19995,culture clash future space war space colony society,en,Avatar,blockbuster,10-12-2009,2787965087,162.0,Released,Enter the World of Pandora.,Avatar,7.2,11800,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,300000000,Adventure Fantasy Action,285,ocean drug abuse exotic island east india trading company love of one's life,en,Pirates of the Caribbean: At World's End,blockbuster,19-05-2007,961000000,169.0,Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,245000000,Action Adventure Crime,206647,spy based on novel secret agent sequel mi6,en,Spectre,blockbuster,26-10-2015,880674609,148.0,Released,A Plan No One Escapes,Spectre,6.3,4466,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,250000000,Action Crime Drama Thriller,49026,dc comics crime fighter terrorist secret identity burglar,en,The Dark Knight Rises,blockbuster,16-07-2012,1084939099,165.0,Released,The Legend Ends,The Dark Knight Rises,7.6,9106,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,260000000,Action Adventure Science Fiction,49529,based on novel mars medallion space travel princess,en,John Carter,mid,07-03-2012,284139100,132.0,Released,"Lost in our world, found in another.",John Carter,6.1,2124,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,258000000,Fantasy Action Adventure,559,dual identity amnesia sandstorm love of one's life forgiveness,en,Spider-Man 3,blockbuster,01-05-2007,890871626,139.0,Released,The battle within.,Spider-Man 3,5.9,3576,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,260000000,Animation Family,38757,hostage magic horse fairy tale musical,en,Tangled,mid,24-11-2010,591794936,100.0,Released,They're taking adventure to new lengths.,Tangled,7.4,3330,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,280000000,Action Adventure Science Fiction,99861,marvel comic sequel superhero based on comic book vision,en,Avengers: Age of Ultron,blockbuster,22-04-2015,1405403694,141.0,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,250000000,Adventure Fantasy Family,767,witch magic broom school of witchcraft wizardry,en,Harry Potter and the Half-Blood Prince,high,07-07-2009,933959197,153.0,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,250000000,Action Adventure Fantasy,209112,dc comics vigilante superhero based on comic book revenge,en,Batman v Superman: Dawn of Justice,blockbuster,23-03-2016,873260194,151.0,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,270000000,Adventure Fantasy Action Science Fiction,1452,saving the world dc comics invulnerability sequel superhero,en,Superman Returns,mid,28-06-2006,391081192,154.0,Released,,Superman Returns,5.4,1400,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,200000000,Adventure Action Thriller Crime,10764,killing undercover secret agent british secret service,en,Quantum of Solace,blockbuster,30-10-2008,586090727,106.0,Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,200000000,Adventure Fantasy Action,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,blockbuster,20-06-2006,1065659812,151.0,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,255000000,Action Adventure Western,57201,texas horse survivor texas ranger partner,en,The Lone Ranger,mid,03-07-2013,89289910,149.0,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,225000000,Action Adventure Fantasy Science Fiction,49521,saving the world dc comics superhero based on comic book superhuman,en,Man of Steel,high,12-06-2013,662845518,143.0,Released,You will believe that a man can fly.,Man of Steel,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,225000000,Adventure Family Fantasy,2454,based on novel fictional place brother sister relationship lion human being,en,The Chronicles of Narnia: Prince Caspian,mid,15-05-2008,419651413,150.0,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,220000000,Science Fiction Action Adventure,24428,new york shield marvel comic superhero based on comic book,en,The Avengers,blockbuster,25-04-2012,1519557910,143.0,Released,Some assembly required.,The Avengers,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,380000000,Adventure Action Fantasy,1865,sea captain mutiny sword prime minister,en,Pirates of the Caribbean: On Stranger Tides,blockbuster,14-05-2011,1045713802,136.0,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,225000000,Action Comedy Science Fiction,41154,time travel time machine alien fictional government agency seeing the future,en,Men in Black 3,mid,23-05-2012,624026776,106.0,Released,They are back... in time.,Men in Black 3,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,250000000,Action Adventure Fantasy,122917,corruption elves dwarves orcs middle-earth (tolkien),en,The Hobbit: The Battle of the Five Armies,blockbuster,10-12-2014,956019788,144.0,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,215000000,Action Adventure Fantasy,1930,loss of father vigilante serum marvel comic scientific experiment,en,The Amazing Spider-Man,high,27-06-2012,752215857,136.0,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,200000000,Action Adventure,20662,robin hood archer knight sherwood forest bow and arrow,en,Robin Hood,mid,12-05-2010,310669540,140.0,Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,250000000,Adventure Fantasy,57158,elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug,high,11-12-2013,958400000,161.0,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,180000000,Adventure Fantasy,2268,england compass experiment lordship uncle,en,The Golden Compass,mid,04-12-2007,372234864,113.0,Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,207000000,Adventure Drama Action,254,film business screenplay show business film making film producer,en,King Kong,high,14-12-2005,550000000,187.0,Released,The eighth wonder of the world.,King Kong,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,200000000,Drama Romance Thriller,597,shipwreck iceberg ship panic titanic,en,Titanic,blockbuster,18-11-1997,1845034188,194.0,Released,Nothing on Earth could come between them.,Titanic,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,250000000,Adventure Action Science Fiction,271110,civil war war marvel comic sequel superhero,en,Captain America: Civil War,blockbuster,27-04-2016,1153304495,147.0,Released,Divided We Fall,Captain America: Civil War,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,209000000,Thriller Action Adventure Science Fiction,44833,fight u.s. navy mind reading hong kong soccer,en,Battleship,high,11-04-2012,303025485,131.0,Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
29,200000000,Action Adventure Thriller,37724,spy secret agent sociopath killer art gallery,en,Skyfall,high,25-10-2012,1108561013,143.0,Released,Think on your sins.,Skyfall,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,200000000,Action Adventure Fantasy,558,dual identity love of one's life pizza boy marvel comic sequel,en,Spider-Man 2,mid,25-06-2004,783766341,127.0,Released,There's a hero in all of us.,Spider-Man 2,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,200000000,Action Adventure Science Fiction,68721,terrorist war on terror tennessee malibu marvel comic,en,Iron Man 3,high,18-04-2013,1215439994,130.0,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,200000000,Family Fantasy Adventure,12155,based on novel fictional place queen fantasy alice in wonderland,en,Alice in Wonderland,high,03-03-2010,1025491110,108.0,Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,210000000,Adventure Action Science Fiction Thriller,36668,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand,low,24-05-2006,459359555,104.0,Released,Take a Stand,X-Men: The Last Stand,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,200000000,Animation Family,62211,monster dormitory games animation best friend,en,Monsters University,high,20-06-2013,743559607,104.0,Released,School never looked this scary.,Monsters University,7.0,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
